Island,Site,Treatment,Quadrat,longitude_x,latitude_y,Chao1_completeness_veg,ACE_completeness_veg,network_size_sufficient,weighted_NODF,weighted_connectance,interaction_evenness,H2,number.of.species.HL,robustness.HL,generality.HL,vulnerability.LL,modularity_index,CaCo_index,Foliage_projective_cover 
Sulawesi,Likupang,Monoculture Reforestation,LKA,125.0432036,1.670515492,83.33333,100,YES,0,0.294824458,0.664429367,0.450867202,8,0.780255615,1.2,4.696489159,1.61801,73.93,71.3
Sulawesi,Likupang,Monoculture Reforestation,LKB,125.0429911,1.670488253,100,87.89238,YES,25,0.26960338,0.631324768,0.329990016,7,0.775042816,1.261468151,3.591392684,-0.4661728,77.69,57.3
Sulawesi,Likupang,Monoculture Reforestation,LKC,125.0431371,1.670287978,100,100,NO,NA,0.342437595,0.638806718,NA,4,0.666666667,1,2.424375951,NA,80.4,65.7
Sulawesi,Likupang,Monoculture Reforestation,LK4,125.0428438,1.670086957,100,100,NO,NA,0.266180738,0.607112925,NA,7,0.379993276,1,3.25889181,NA,43.37,43.4
Sulawesi,Likupang,Monoculture Reforestation,LK5,125.04275,1.670466667,100,100,NO,NA,0.453998759,0.947456998,NA,8,0.332520934,1,7.171977654,NA,84.76,51.67
Sulawesi,Likupang,Monoculture Reforestation,LK6,125.0427833,1.6703,100,100,NO,NA,0.332842712,0.788662192,NA,9,0.295567926,1,5.656854249,NA,61.5,43.3
Sulawesi,Likupang,Mixed Species Regeneration,LK7,125.0405333,1.672933333,100,88.88889,YES,14.65517241,0.258436083,0.732802237,0.473410568,8,0.84896573,1.249763419,3.918958237,1.157184,83.47,79
Sulawesi,Likupang,Mixed Species Regeneration,LK8,125.0407,1.67305,100,100,YES,20.96774194,0.224026383,0.605107996,0.266762568,8,0.70249228,1.555562673,3.37301775,0.5710863,83.62,78.3
Sulawesi,Likupang,Mixed Species Regeneration,LK9,125.0408333,1.6732,100,91.2586,YES,42.85714286,0.231866321,0.57345054,0,6,0.689359589,2.51328212,2.124044294,-1.198463,73.48,46.67
Sulawesi,Likupang,Mixed Species Regeneration,LK10,125.0408167,1.673383333,100,100,YES,0,0.210817434,0.563025025,1,15,0.543781146,1,6.167792762,1.25879,82.8,92.67
Sulawesi,Likupang,Mixed Species Regeneration,LK11,125.0411667,1.67335,91.66667,100,YES,14.95726496,0.141415607,0.356254195,0.455815907,9,0.789146405,1.212995706,2.180978858,2.589099,74.42,78.3
