Island,Site,Treatment,Quadrat,network_lower_level,network_lower_level_shorthand,normalised.degree,proportional.generality,longitude_x,latitude_y,CaCo_index,Foliage_projective_cover ,No._R.apiculata_mature,Mean_Circumference_cm_R.apiculata_mature,Mean_DBH_cm_R.apiculata_mature,Biomass_index_R.apiculata,No._R.mucronata_mature,Mean_Circumference_cm_R.mucronata_mature,Mean_DBH_cm_R.mucronata_mature,Biomass_index_R.mucronata,No._B.gymnorrhiza_mature,Mean_Circumference_cm_B.gymnorrhiza_mature,Mean_DBH_cm_B.gymnorrhiza_mature,Biomass_index_B.gymnorrhiza,No._C.tagal_mature,Mean_Circumference_cm_C.tagal_mature,Mean_DBH_cm_C.tagal_mature,Biomass_index_C.tagal
Sulawesi,Likupang,Monoculture Reforestation,LKA,Rhizophora apiculata,P06,0.727272727,1.877682754,125.0432036,1.670515492,73.93,71.3,18,21.83,6.95,125.1,26,24.27,7.73,200.98,0,0,0,0,0,0,0,0
Sulawesi,Likupang,Monoculture Reforestation,LKA,Rhizophora mucronata,P07,0.181818182,0.751659536,125.0432036,1.670515492,73.93,71.3,18,21.83,6.95,125.1,26,24.27,7.73,200.98,0,0,0,0,0,0,0,0
Sulawesi,Likupang,Monoculture Reforestation,LKA,sediment,S,0.272727273,0.638037134,125.0432036,1.670515492,73.93,71.3,18,21.83,6.95,125.1,26,24.27,7.73,200.98,0,0,0,0,0,0,0,0
Sulawesi,Likupang,Monoculture Reforestation,LKB,Rhizophora apiculata,P06,0.25,1.229686406,125.0429911,1.670488253,77.69,57.3,3,22.33,7.11,21.33,43,21.98,7,301,0,0,0,0,0,0,0,0
Sulawesi,Likupang,Monoculture Reforestation,LKB,Rhizophora mucronata,P07,0.75,2.371219544,125.0429911,1.670488253,77.69,57.3,3,22.33,7.11,21.33,43,21.98,7,301,0,0,0,0,0,0,0,0
Sulawesi,Likupang,Monoculture Reforestation,LKB,sediment,S,0.125,0.614843203,125.0429911,1.670488253,77.69,57.3,3,22.33,7.11,21.33,43,21.98,7,301,0,0,0,0,0,0,0,0
Sulawesi,Likupang,Monoculture Reforestation,LKC,Rhizophora mucronata,P07,0.714285714,1.130991511,125.0431371,1.670287978,80.4,65.7,0,0,0,0,43,19,6.05,260.15,0,0,0,0,0,0,0,0
Sulawesi,Likupang,Monoculture Reforestation,LKC,sediment,S,0.428571429,0.817494577,125.0431371,1.670287978,80.4,65.7,0,0,0,0,43,19,6.05,260.15,0,0,0,0,0,0,0,0
Sulawesi,Likupang,Monoculture Reforestation,LK4,Rhizophora mucronata,P07,0.875,1.869567636,125.0428438,1.670086957,43.37,43.4,0,0,0,0,32,21,6.69,214.08,0,0,0,0,0,0,0,0
Sulawesi,Likupang,Monoculture Reforestation,LK4,sediment,S,0.125,0.57368202,125.0428438,1.670086957,43.37,43.4,0,0,0,0,32,21,6.69,214.08,0,0,0,0,0,0,0,0
